Parameters: 21,070,378
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[162/1010] 	| 84.03 | 96.95 | 58.04 | 84.92 |
[163/1010] 	| 83.96 | 97.03 | 58.53 | 86.01 |
[164/1010] 	| 85.33 | 97.40 | 58.33 | 84.92 |
[165/1010] 	| 84.73 | 97.11 | 57.94 | 84.62 |
[166/1010] 	| 85.32 | 97.13 | 60.22 | 87.00 |
[167/1010] 	| 85.13 | 97.31 | 58.13 | 84.33 |
[168/1010] 	| 85.36 | 97.35 | 60.91 | 86.51 |
[169/1010] 	| 84.52 | 97.28 | 60.71 | 84.33 |
[170/1010] 	| 86.17 | 97.50 | 58.53 | 84.23 |
[171/1010] 	| 85.48 | 97.43 | 58.83 | 85.52 |
[172/1010] 	| 85.95 | 97.53 | 58.33 | 85.12 |
[173/1010] 	| 86.31 | 97.74 | 57.84 | 85.42 |
[174/1010] 	| 85.55 | 97.29 | 57.94 | 84.13 |
[175/1010] 	| 85.72 | 97.45 | 58.23 | 82.74 |
[176/1010] 	| 86.89 | 97.89 | 57.94 | 84.42 |
[177/1010] 	| 86.37 | 97.64 | 59.03 | 83.83 |
[178/1010] 	| 86.84 | 97.98 | 57.64 | 84.92 |
[179/1010] 	| 86.80 | 97.73 | 58.23 | 85.52 |
[180/1010] 	| 86.63 | 97.70 | 58.93 | 85.12 |
[181/1010] 	| 87.13 | 97.75 | 60.32 | 83.13 |
[182/1010] 	| 86.05 | 97.89 | 57.84 | 85.91 |
[183/1010] 	| 86.88 | 97.71 | 59.33 | 85.91 |
[184/1010] 	| 86.89 | 97.45 | 59.72 | 85.12 |
[185/1010] 	| 86.82 | 97.59 | 56.55 | 85.12 |
[186/1010] 	| 87.11 | 97.98 | 59.52 | 84.82 |
[187/1010] 	| 87.50 | 97.94 | 58.63 | 85.32 |
[188/1010] 	| 87.82 | 97.91 | 59.82 | 85.42 |
[189/1010] 	| 87.34 | 97.59 | 58.63 | 84.72 |
[190/1010] 	| 87.57 | 97.65 | 58.73 | 84.82 |
[191/1010] 	| 87.90 | 98.02 | 61.31 | 84.82 |
[192/1010] 	| 86.99 | 97.82 | 58.33 | 85.52 |
[193/1010] 	| 88.38 | 98.04 | 60.12 | 86.71 |
[194/1010] 	| 87.19 | 97.93 | 58.93 | 86.31 |
[195/1010] 	| 88.31 | 97.90 | 59.92 | 85.62 |
[196/1010] 	| 88.49 | 98.12 | 60.22 | 85.22 |
[197/1010] 	| 88.03 | 97.99 | 58.93 | 85.32 |
[198/1010] 	| 87.78 | 98.11 | 58.33 | 87.50 |
[199/1010] 	| 88.26 | 98.02 | 60.62 | 85.52 |
[200/1010] 	| 88.12 | 97.88 | 58.53 | 84.62 |
[201/1010] 	| 88.30 | 98.15 | 59.92 | 85.12 |
[202/1010] 	| 88.07 | 98.01 | 58.63 | 86.61 |
[203/1010] 	| 88.55 | 98.13 | 58.93 | 83.23 |
[204/1010] 	| 88.25 | 97.83 | 59.42 | 85.32 |
[205/1010] 	| 87.68 | 98.08 | 59.52 | 85.62 |
[206/1010] 	| 89.08 | 97.98 | 61.01 | 85.12 |
[207/1010] 	| 88.40 | 97.91 | 60.02 | 86.21 |
[208/1010] 	| 89.10 | 98.06 | 59.82 | 84.52 |
[209/1010] 	| 88.57 | 98.24 | 59.23 | 84.52 |
