Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[241/1010] 	| 92.82 | 99.23 | 70.44 | 90.67 |
[242/1010] 	| 92.82 | 99.14 | 69.74 | 89.88 |
[243/1010] 	| 91.79 | 98.97 | 71.53 | 90.97 |
[244/1010] 	| 92.78 | 99.03 | 67.86 | 89.78 |
[245/1010] 	| 92.59 | 99.04 | 66.96 | 90.08 |
[246/1010] 	| 93.06 | 99.25 | 68.55 | 90.38 |
[247/1010] 	| 92.98 | 99.03 | 69.44 | 90.48 |
[248/1010] 	| 92.39 | 98.85 | 70.63 | 90.67 |
[249/1010] 	| 93.42 | 99.07 | 69.54 | 91.47 |
[250/1010] 	| 93.19 | 99.22 | 68.45 | 90.87 |
[251/1010] 	| 93.13 | 99.12 | 69.74 | 89.98 |
[252/1010] 	| 92.40 | 99.10 | 70.24 | 90.97 |
[253/1010] 	| 92.06 | 98.99 | 69.35 | 90.38 |
[254/1010] 	| 92.65 | 98.81 | 66.37 | 91.07 |
[255/1010] 	| 92.98 | 99.00 | 70.54 | 90.58 |
[256/1010] 	| 93.46 | 99.13 | 71.13 | 90.97 |
[257/1010] 	| 92.78 | 99.10 | 69.54 | 90.67 |
[258/1010] 	| 92.74 | 99.15 | 67.26 | 90.28 |
[259/1010] 	| 93.03 | 99.24 | 71.13 | 91.17 |
[260/1010] 	| 93.45 | 98.99 | 69.05 | 90.08 |
[261/1010] 	| 92.62 | 99.10 | 69.44 | 90.38 |
[262/1010] 	| 93.57 | 99.33 | 68.35 | 89.38 |
[263/1010] 	| 92.97 | 99.21 | 67.96 | 89.58 |
[264/1010] 	| 93.59 | 99.05 | 69.94 | 89.68 |
[265/1010] 	| 93.23 | 99.15 | 68.55 | 90.77 |
[266/1010] 	| 93.15 | 99.03 | 69.54 | 90.08 |
[267/1010] 	| 93.04 | 99.23 | 67.26 | 90.58 |
[268/1010] 	| 93.39 | 99.12 | 67.36 | 90.87 |
[269/1010] 	| 93.23 | 99.15 | 71.92 | 91.57 |
[270/1010] 	| 93.49 | 98.97 | 68.15 | 89.38 |
[271/1010] 	| 92.67 | 98.93 | 70.44 | 90.38 |
[272/1010] 	| 93.83 | 99.19 | 67.66 | 91.27 |
[273/1010] 	| 93.26 | 99.20 | 71.03 | 90.38 |
[274/1010] 	| 93.82 | 99.23 | 70.83 | 90.58 |
[275/1010] 	| 93.14 | 99.11 | 71.13 | 90.67 |
[276/1010] 	| 93.19 | 99.12 | 68.06 | 88.79 |
[277/1010] 	| 93.71 | 99.18 | 69.74 | 91.27 |
[278/1010] 	| 93.61 | 99.22 | 70.83 | 91.27 |
