Parameters: 13,384,746
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[65/610] 	| 49.69 | 80.76 | 46.83 | 77.38 |
[66/610] 	| 49.92 | 80.98 | 49.11 | 79.76 |
[67/610] 	| 49.71 | 80.60 | 47.52 | 80.65 |
[68/610] 	| 49.53 | 80.74 | 47.52 | 77.68 |
[69/610] 	| 50.13 | 81.24 | 50.30 | 76.79 |
[70/610] 	| 50.67 | 80.88 | 49.70 | 79.56 |
[71/610] 	| 50.07 | 81.16 | 49.90 | 80.56 |
[72/610] 	| 49.69 | 81.25 | 48.31 | 78.57 |
[73/610] 	| 50.68 | 80.95 | 48.31 | 80.16 |
[74/610] 	| 51.17 | 81.64 | 51.88 | 79.66 |
[75/610] 	| 51.26 | 81.75 | 48.91 | 80.56 |
[76/610] 	| 51.27 | 81.88 | 50.30 | 79.37 |
[77/610] 	| 50.99 | 81.83 | 48.81 | 79.17 |
[78/610] 	| 51.82 | 82.44 | 49.11 | 80.36 |
[79/610] 	| 51.23 | 81.74 | 50.40 | 81.65 |
[80/610] 	| 51.27 | 82.44 | 49.90 | 78.67 |
[81/610] 	| 52.14 | 82.31 | 49.90 | 79.37 |
[82/610] 	| 52.07 | 82.03 | 49.31 | 79.17 |
[83/610] 	| 51.90 | 82.05 | 49.01 | 80.46 |
[84/610] 	| 51.66 | 82.12 | 50.10 | 80.46 |
[85/610] 	| 52.50 | 82.60 | 49.50 | 81.85 |
[86/610] 	| 52.06 | 82.20 | 48.91 | 80.46 |
[87/610] 	| 52.97 | 82.82 | 51.19 | 81.15 |
[88/610] 	| 51.32 | 82.71 | 50.50 | 79.76 |
[89/610] 	| 51.89 | 83.20 | 49.50 | 79.76 |
[90/610] 	| 53.10 | 83.66 | 47.92 | 80.95 |
[91/610] 	| 52.01 | 82.53 | 49.01 | 79.46 |
[92/610] 	| 51.85 | 82.83 | 47.42 | 79.17 |
[93/610] 	| 51.55 | 81.98 | 50.30 | 81.45 |
[94/610] 	| 53.15 | 82.80 | 49.40 | 80.56 |
[95/610] 	| 52.78 | 83.24 | 50.40 | 81.15 |
[96/610] 	| 54.30 | 83.17 | 49.50 | 78.57 |
[97/610] 	| 53.79 | 83.35 | 48.81 | 79.17 |
[98/610] 	| 53.37 | 83.73 | 47.42 | 79.17 |
[99/610] 	| 52.49 | 82.41 | 53.57 | 81.55 |
[100/610] 	| 53.19 | 83.05 | 51.09 | 81.85 |
[101/610] 	| 52.72 | 83.22 | 51.09 | 80.75 |
