Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[122/1010] 	| 52.61 | 82.92 | 50.69 | 79.56 |
[123/1010] 	| 52.16 | 82.48 | 49.80 | 79.37 |
[124/1010] 	| 53.79 | 83.31 | 48.61 | 79.76 |
[125/1010] 	| 54.00 | 83.29 | 49.70 | 80.16 |
[126/1010] 	| 53.25 | 83.23 | 50.89 | 80.85 |
[127/1010] 	| 54.64 | 83.49 | 51.59 | 81.05 |
[128/1010] 	| 54.49 | 83.75 | 51.79 | 81.94 |
[129/1010] 	| 54.46 | 84.19 | 48.61 | 79.27 |
[130/1010] 	| 55.62 | 83.53 | 49.90 | 80.06 |
[131/1010] 	| 54.49 | 84.24 | 52.68 | 80.46 |
[132/1010] 	| 55.00 | 83.75 | 50.30 | 79.76 |
[133/1010] 	| 53.94 | 83.27 | 49.60 | 79.27 |
[134/1010] 	| 55.39 | 83.87 | 51.29 | 81.45 |
[135/1010] 	| 55.22 | 84.81 | 50.20 | 80.46 |
[136/1010] 	| 55.83 | 84.63 | 50.50 | 81.55 |
[137/1010] 	| 55.28 | 84.58 | 51.79 | 80.56 |
[138/1010] 	| 56.25 | 85.15 | 50.40 | 80.56 |
[139/1010] 	| 56.18 | 85.31 | 50.10 | 81.15 |
[140/1010] 	| 56.78 | 85.69 | 51.09 | 79.76 |
[141/1010] 	| 56.52 | 85.05 | 52.48 | 79.37 |
[142/1010] 	| 57.50 | 85.09 | 47.82 | 79.07 |
[143/1010] 	| 56.74 | 85.52 | 51.49 | 81.75 |
[144/1010] 	| 57.68 | 85.79 | 50.10 | 81.65 |
[145/1010] 	| 57.61 | 85.70 | 50.89 | 80.46 |
[146/1010] 	| 57.55 | 85.78 | 51.19 | 81.45 |
[147/1010] 	| 59.12 | 85.99 | 51.69 | 80.65 |
[148/1010] 	| 58.69 | 85.67 | 50.79 | 81.94 |
[149/1010] 	| 58.16 | 86.04 | 49.40 | 79.66 |
[150/1010] 	| 58.26 | 86.38 | 52.48 | 80.26 |
[151/1010] 	| 59.01 | 86.94 | 54.07 | 82.34 |
[152/1010] 	| 58.87 | 86.75 | 50.79 | 79.56 |
[153/1010] 	| 58.03 | 86.34 | 50.10 | 81.65 |
[154/1010] 	| 59.12 | 86.99 | 50.20 | 80.85 |
[155/1010] 	| 59.29 | 87.30 | 52.48 | 83.53 |
[156/1010] 	| 59.83 | 87.04 | 52.08 | 81.45 |
[157/1010] 	| 58.74 | 86.67 | 51.09 | 80.95 |
[158/1010] 	| 59.99 | 87.47 | 52.58 | 81.25 |
[159/1010] 	| 60.35 | 87.86 | 50.00 | 82.94 |
[160/1010] 	| 59.91 | 87.86 | 53.27 | 82.74 |
[161/1010] 	| 60.08 | 87.54 | 53.87 | 81.45 |
[162/1010] 	| 61.09 | 88.07 | 50.10 | 80.75 |
[163/1010] 	| 59.24 | 86.87 | 50.69 | 80.46 |
[164/1010] 	| 60.25 | 87.39 | 49.11 | 81.45 |
[165/1010] 	| 61.30 | 87.52 | 49.80 | 81.55 |
[166/1010] 	| 60.80 | 87.66 | 53.37 | 84.13 |
