Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[212/1010] 	| 76.05 | 93.76 | 65.77 | 88.89 |
[213/1010] 	| 76.56 | 93.92 | 64.09 | 89.09 |
[214/1010] 	| 76.92 | 94.18 | 66.07 | 88.99 |
[215/1010] 	| 77.12 | 93.88 | 66.67 | 86.90 |
[216/1010] 	| 76.96 | 94.32 | 67.86 | 90.08 |
[217/1010] 	| 76.58 | 93.86 | 66.77 | 90.97 |
[218/1010] 	| 77.72 | 94.46 | 68.06 | 88.19 |
[219/1010] 	| 77.56 | 94.34 | 64.88 | 88.69 |
[220/1010] 	| 76.98 | 93.62 | 65.97 | 88.99 |
[221/1010] 	| 77.99 | 94.32 | 67.76 | 89.38 |
[222/1010] 	| 76.78 | 94.19 | 63.29 | 86.90 |
[223/1010] 	| 77.44 | 93.93 | 70.04 | 88.19 |
[224/1010] 	| 78.01 | 94.68 | 66.27 | 88.99 |
[225/1010] 	| 78.30 | 94.48 | 67.76 | 89.98 |
[226/1010] 	| 78.31 | 94.66 | 66.47 | 90.38 |
[227/1010] 	| 77.30 | 94.37 | 68.25 | 89.19 |
[228/1010] 	| 77.95 | 94.32 | 65.38 | 89.38 |
[229/1010] 	| 76.86 | 93.95 | 65.28 | 87.70 |
[230/1010] 	| 78.33 | 94.32 | 68.15 | 90.08 |
[231/1010] 	| 77.84 | 94.84 | 67.96 | 89.68 |
[232/1010] 	| 79.13 | 94.76 | 67.36 | 88.49 |
[233/1010] 	| 78.67 | 94.15 | 68.55 | 89.29 |
[234/1010] 	| 77.90 | 93.95 | 66.27 | 87.40 |
[235/1010] 	| 78.34 | 94.38 | 67.16 | 89.48 |
[236/1010] 	| 77.46 | 93.94 | 67.26 | 88.59 |
[237/1010] 	| 77.75 | 94.21 | 66.96 | 89.78 |
[238/1010] 	| 78.88 | 94.85 | 67.46 | 88.69 |
[239/1010] 	| 79.58 | 95.27 | 67.56 | 88.10 |
[240/1010] 	| 77.77 | 94.07 | 67.46 | 88.79 |
[241/1010] 	| 79.67 | 94.84 | 66.77 | 90.28 |
[242/1010] 	| 78.45 | 94.63 | 66.27 | 88.39 |
[243/1010] 	| 78.97 | 94.73 | 63.89 | 89.29 |
[244/1010] 	| 78.31 | 94.57 | 64.88 | 89.19 |
[245/1010] 	| 79.54 | 94.90 | 66.57 | 88.99 |
[246/1010] 	| 78.55 | 94.72 | 64.48 | 88.59 |
[247/1010] 	| 79.68 | 95.12 | 64.68 | 89.09 |
[248/1010] 	| 80.26 | 95.02 | 66.37 | 89.09 |
[249/1010] 	| 79.83 | 95.15 | 68.06 | 88.99 |
[250/1010] 	| 79.68 | 95.13 | 66.37 | 88.89 |
[251/1010] 	| 84.24 | 97.23 | 64.29 | 88.29 |
