Parameters: 21,070,385
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[213/1010] 	| 80.56 | 96.25 | 64.48 | 88.99 |
[214/1010] 	| 80.79 | 96.15 | 66.96 | 89.88 |
[215/1010] 	| 81.61 | 96.33 | 63.99 | 87.40 |
[216/1010] 	| 81.42 | 96.53 | 64.29 | 87.70 |
[217/1010] 	| 82.08 | 96.59 | 65.87 | 88.00 |
[218/1010] 	| 82.16 | 96.92 | 68.25 | 89.68 |
[219/1010] 	| 81.93 | 96.63 | 66.27 | 88.89 |
[220/1010] 	| 81.16 | 96.67 | 65.18 | 89.58 |
[221/1010] 	| 81.72 | 96.64 | 66.37 | 89.09 |
[222/1010] 	| 81.64 | 96.47 | 66.17 | 88.10 |
[223/1010] 	| 81.42 | 96.22 | 67.56 | 88.69 |
[224/1010] 	| 82.22 | 96.77 | 66.67 | 89.19 |
[225/1010] 	| 81.81 | 96.65 | 64.68 | 90.48 |
[226/1010] 	| 82.12 | 96.43 | 63.99 | 88.69 |
[227/1010] 	| 82.18 | 96.64 | 64.98 | 89.38 |
[228/1010] 	| 82.57 | 96.76 | 65.08 | 88.00 |
[229/1010] 	| 82.07 | 96.75 | 67.36 | 89.88 |
[230/1010] 	| 83.36 | 97.01 | 65.38 | 88.49 |
[231/1010] 	| 82.41 | 96.75 | 65.48 | 88.10 |
[232/1010] 	| 82.98 | 96.74 | 64.88 | 88.00 |
[233/1010] 	| 82.77 | 96.81 | 66.96 | 88.10 |
[234/1010] 	| 82.48 | 96.52 | 64.29 | 86.41 |
[235/1010] 	| 82.50 | 96.72 | 63.69 | 87.10 |
[236/1010] 	| 82.01 | 96.51 | 67.86 | 87.90 |
[237/1010] 	| 82.47 | 96.91 | 65.08 | 87.80 |
[238/1010] 	| 83.85 | 97.43 | 64.58 | 88.89 |
[239/1010] 	| 83.45 | 97.04 | 65.38 | 89.68 |
[240/1010] 	| 82.48 | 96.95 | 66.57 | 89.19 |
[241/1010] 	| 84.05 | 96.98 | 67.26 | 89.38 |
[242/1010] 	| 83.99 | 96.96 | 63.79 | 87.00 |
[243/1010] 	| 82.58 | 96.71 | 63.10 | 88.10 |
[244/1010] 	| 83.67 | 97.08 | 65.87 | 88.79 |
[245/1010] 	| 83.55 | 97.13 | 66.17 | 86.71 |
