Parameters: 32,715,210
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[137/1010] 	| 53.60 | 84.27 | 46.73 | 79.17 |
[138/1010] 	| 40.28 | 71.16 | 27.28 | 62.80 |
[139/1010] 	| 31.56 | 65.62 | 31.55 | 67.76 |
[140/1010] 	| 35.79 | 69.77 | 35.42 | 68.75 |
[141/1010] 	| 36.94 | 71.07 | 35.81 | 72.22 |
[142/1010] 	| 37.78 | 72.04 | 37.60 | 71.33 |
[143/1010] 	| 39.89 | 73.92 | 39.48 | 75.00 |
[144/1010] 	| 40.74 | 75.57 | 40.77 | 75.30 |
[145/1010] 	| 41.14 | 75.12 | 40.58 | 74.50 |
[146/1010] 	| 39.74 | 73.89 | 37.40 | 74.11 |
[147/1010] 	| 41.45 | 74.76 | 41.87 | 75.30 |
[148/1010] 	| 42.59 | 76.31 | 39.38 | 72.92 |
[149/1010] 	| 43.64 | 77.12 | 42.56 | 76.09 |
[150/1010] 	| 43.02 | 76.86 | 41.77 | 75.50 |
[151/1010] 	| 43.24 | 76.82 | 43.35 | 77.58 |
[152/1010] 	| 44.52 | 78.02 | 43.45 | 76.19 |
[153/1010] 	| 45.17 | 78.29 | 43.65 | 76.98 |
[154/1010] 	| 44.76 | 77.78 | 43.75 | 76.88 |
[155/1010] 	| 45.93 | 78.77 | 45.83 | 79.07 |
[156/1010] 	| 46.21 | 79.21 | 45.54 | 77.58 |
[157/1010] 	| 47.98 | 79.99 | 42.36 | 77.48 |
[158/1010] 	| 45.52 | 77.56 | 36.71 | 71.73 |
[159/1010] 	| 46.05 | 78.50 | 45.54 | 80.95 |
[160/1010] 	| 47.59 | 80.22 | 44.25 | 79.56 |
[161/1010] 	| 48.93 | 80.85 | 46.43 | 81.75 |
[162/1010] 	| 47.93 | 80.53 | 44.25 | 77.28 |
[163/1010] 	| 47.90 | 80.63 | 44.54 | 78.97 |
[164/1010] 	| 49.35 | 80.67 | 46.33 | 79.27 |
[165/1010] 	| 50.18 | 81.48 | 44.05 | 78.87 |
[166/1010] 	| 51.07 | 81.28 | 41.47 | 76.69 |
[167/1010] 	| 49.48 | 81.02 | 47.22 | 79.17 |
[168/1010] 	| 36.70 | 69.54 | 34.82 | 69.15 |
[169/1010] 	| 31.52 | 66.11 | 35.81 | 67.96 |
[170/1010] 	| 38.26 | 71.79 | 38.10 | 72.52 |
[171/1010] 	| 27.91 | 61.12 | 30.16 | 66.07 |
[172/1010] 	| 32.84 | 68.02 | 35.32 | 70.83 |
