Parameters: 14,139,050
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[186/1010] 	| 74.50 | 94.81 | 56.75 | 86.21 |
[187/1010] 	| 76.94 | 95.44 | 57.84 | 84.72 |
[188/1010] 	| 77.02 | 95.51 | 62.00 | 85.52 |
[189/1010] 	| 77.46 | 95.26 | 56.94 | 84.82 |
[190/1010] 	| 75.42 | 94.90 | 59.62 | 86.21 |
[191/1010] 	| 77.01 | 95.71 | 60.32 | 86.11 |
[192/1010] 	| 76.08 | 95.03 | 59.23 | 86.81 |
[193/1010] 	| 77.04 | 95.17 | 57.84 | 85.02 |
[194/1010] 	| 75.90 | 95.30 | 60.22 | 86.41 |
[195/1010] 	| 76.36 | 95.08 | 59.82 | 85.71 |
[196/1010] 	| 76.67 | 95.32 | 60.32 | 86.11 |
[197/1010] 	| 77.32 | 95.44 | 56.94 | 84.92 |
[198/1010] 	| 76.16 | 94.47 | 57.74 | 84.52 |
[199/1010] 	| 76.67 | 94.92 | 59.03 | 85.02 |
[200/1010] 	| 76.81 | 95.15 | 57.44 | 84.62 |
[201/1010] 	| 77.39 | 95.69 | 59.42 | 84.82 |
[202/1010] 	| 77.99 | 96.03 | 58.23 | 85.42 |
[203/1010] 	| 77.74 | 95.34 | 59.23 | 84.72 |
[204/1010] 	| 75.93 | 94.82 | 58.04 | 86.11 |
[205/1010] 	| 78.65 | 95.89 | 58.23 | 84.42 |
[206/1010] 	| 77.96 | 95.90 | 60.22 | 85.22 |
[207/1010] 	| 78.11 | 95.71 | 61.51 | 86.11 |
[208/1010] 	| 76.36 | 95.38 | 61.31 | 86.81 |
[209/1010] 	| 77.21 | 95.38 | 59.13 | 84.62 |
[210/1010] 	| 79.17 | 96.12 | 60.71 | 86.21 |
[211/1010] 	| 77.44 | 95.36 | 60.32 | 87.40 |
[212/1010] 	| 79.21 | 95.96 | 60.71 | 87.30 |
[213/1010] 	| 79.39 | 96.10 | 60.12 | 86.71 |
[214/1010] 	| 79.19 | 96.13 | 62.00 | 86.01 |
[215/1010] 	| 77.80 | 95.86 | 60.12 | 86.81 |
[216/1010] 	| 77.91 | 95.52 | 56.35 | 84.13 |
