Parameters: 13,384,746
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[106/610] 	| 61.82 | 87.21 | 59.13 | 84.42 |
[107/610] 	| 62.19 | 87.14 | 57.54 | 83.73 |
[108/610] 	| 62.89 | 87.24 | 60.22 | 84.72 |
[109/610] 	| 62.70 | 86.93 | 61.41 | 85.32 |
[110/610] 	| 63.25 | 87.50 | 59.42 | 83.83 |
[111/610] 	| 63.03 | 87.54 | 60.12 | 84.52 |
[112/610] 	| 63.43 | 87.86 | 63.00 | 86.01 |
[113/610] 	| 63.62 | 87.88 | 61.31 | 85.12 |
[114/610] 	| 63.85 | 87.94 | 61.51 | 86.11 |
[115/610] 	| 63.60 | 87.76 | 61.11 | 87.20 |
[116/610] 	| 64.20 | 88.12 | 60.62 | 86.01 |
[117/610] 	| 63.65 | 87.84 | 61.90 | 85.32 |
[118/610] 	| 64.46 | 88.60 | 61.21 | 86.81 |
[119/610] 	| 64.79 | 88.40 | 62.10 | 84.13 |
[120/610] 	| 63.68 | 88.00 | 62.40 | 86.71 |
[121/610] 	| 64.98 | 88.46 | 59.92 | 86.51 |
[122/610] 	| 65.01 | 88.85 | 61.71 | 85.91 |
[123/610] 	| 65.00 | 89.12 | 63.19 | 85.71 |
[124/610] 	| 64.98 | 88.68 | 62.30 | 86.90 |
[125/610] 	| 65.48 | 88.36 | 62.60 | 86.01 |
[126/610] 	| 65.69 | 89.32 | 62.20 | 84.92 |
[127/610] 	| 66.88 | 89.42 | 62.80 | 85.62 |
[128/610] 	| 66.21 | 89.00 | 59.33 | 84.03 |
[129/610] 	| 65.87 | 89.37 | 62.70 | 85.81 |
[130/610] 	| 66.85 | 89.54 | 62.20 | 86.71 |
[131/610] 	| 66.73 | 89.62 | 62.10 | 86.90 |
[132/610] 	| 66.34 | 89.97 | 63.00 | 86.71 |
[133/610] 	| 67.03 | 90.36 | 61.90 | 87.50 |
[134/610] 	| 67.27 | 89.75 | 64.88 | 87.60 |
[135/610] 	| 67.94 | 90.08 | 61.51 | 85.91 |
[136/610] 	| 67.48 | 89.58 | 62.90 | 85.62 |
[137/610] 	| 67.25 | 90.02 | 61.51 | 87.20 |
[138/610] 	| 67.40 | 90.19 | 61.21 | 86.51 |
[139/610] 	| 68.12 | 90.42 | 62.10 | 87.00 |
[140/610] 	| 67.50 | 90.66 | 64.09 | 87.90 |
[141/610] 	| 67.85 | 90.36 | 63.49 | 87.70 |
[142/610] 	| 67.97 | 90.55 | 64.98 | 87.90 |
[143/610] 	| 68.68 | 90.99 | 62.90 | 87.70 |
[144/610] 	| 68.26 | 90.42 | 63.19 | 85.42 |
[145/610] 	| 69.05 | 90.64 | 62.10 | 86.31 |
[146/610] 	| 68.98 | 91.18 | 62.50 | 86.71 |
[147/610] 	| 68.45 | 91.41 | 63.79 | 85.52 |
[148/610] 	| 69.48 | 91.09 | 63.19 | 89.38 |
[149/610] 	| 69.63 | 91.21 | 62.80 | 86.31 |
[150/610] 	| 68.79 | 91.18 | 65.38 | 88.10 |
[151/610] 	| 69.64 | 90.84 | 63.10 | 86.51 |
[152/610] 	| 70.07 | 91.36 | 64.88 | 87.40 |
[153/610] 	| 69.73 | 91.36 | 62.40 | 86.11 |
[154/610] 	| 70.21 | 91.41 | 64.38 | 87.30 |
[155/610] 	| 69.94 | 91.87 | 63.89 | 87.50 |
[156/610] 	| 69.65 | 91.60 | 65.87 | 89.09 |
[157/610] 	| 71.03 | 91.85 | 63.39 | 86.71 |
[158/610] 	| 70.15 | 91.58 | 63.69 | 85.71 |
[159/610] 	| 70.56 | 92.46 | 65.58 | 86.90 |
[160/610] 	| 71.62 | 91.97 | 64.38 | 87.20 |
[161/610] 	| 70.71 | 92.04 | 63.79 | 87.90 |
[162/610] 	| 71.56 | 92.03 | 63.10 | 88.10 |
[163/610] 	| 71.35 | 92.30 | 64.68 | 87.60 |
[164/610] 	| 70.93 | 92.19 | 65.87 | 88.69 |
[165/610] 	| 72.33 | 92.40 | 64.68 | 88.00 |
[166/610] 	| 72.12 | 92.13 | 68.95 | 88.79 |
[167/610] 	| 71.61 | 92.20 | 64.19 | 87.20 |
[168/610] 	| 72.06 | 92.95 | 62.10 | 86.81 |
[169/610] 	| 72.54 | 92.67 | 64.48 | 86.90 |
[170/610] 	| 72.40 | 92.82 | 63.49 | 87.00 |
[171/610] 	| 72.49 | 92.96 | 65.87 | 88.29 |
[172/610] 	| 72.63 | 92.52 | 64.09 | 87.20 |
[173/610] 	| 73.06 | 92.59 | 65.48 | 87.80 |
[174/610] 	| 73.02 | 93.29 | 64.38 | 87.00 |
[175/610] 	| 74.05 | 93.37 | 64.38 | 89.09 |
[176/610] 	| 73.28 | 93.17 | 64.09 | 88.69 |
[177/610] 	| 72.86 | 93.13 | 64.78 | 87.80 |
[178/610] 	| 73.21 | 93.08 | 65.87 | 88.59 |
[179/610] 	| 72.05 | 92.32 | 64.98 | 88.79 |
[180/610] 	| 72.96 | 93.05 | 62.70 | 87.30 |
[181/610] 	| 73.81 | 93.82 | 63.79 | 89.58 |
[182/610] 	| 74.48 | 93.91 | 65.48 | 88.59 |
[183/610] 	| 74.24 | 93.29 | 66.77 | 89.78 |
[184/610] 	| 74.94 | 93.38 | 67.16 | 89.48 |
[185/610] 	| 74.24 | 93.48 | 65.48 | 88.79 |
[186/610] 	| 75.09 | 93.77 | 67.06 | 89.58 |
[187/610] 	| 74.74 | 93.87 | 64.48 | 88.29 |
[188/610] 	| 75.30 | 94.21 | 64.09 | 88.10 |
[189/610] 	| 74.66 | 93.76 | 65.38 | 88.29 |
[190/610] 	| 74.87 | 93.75 | 66.27 | 87.50 |
[191/610] 	| 74.80 | 94.23 | 63.99 | 87.60 |
[192/610] 	| 75.42 | 94.11 | 65.77 | 88.99 |
[193/610] 	| 75.63 | 94.16 | 68.65 | 88.79 |
[194/610] 	| 75.63 | 94.12 | 65.48 | 87.80 |
[195/610] 	| 75.28 | 94.21 | 67.36 | 88.69 |
[196/610] 	| 75.68 | 93.97 | 66.27 | 88.89 |
[197/610] 	| 76.22 | 94.57 | 66.87 | 87.90 |
[198/610] 	| 76.26 | 94.36 | 66.27 | 88.49 |
[199/610] 	| 76.38 | 94.62 | 66.87 | 89.38 |
[200/610] 	| 76.38 | 94.71 | 66.57 | 88.19 |
[201/610] 	| 76.32 | 94.76 | 67.46 | 89.09 |
[202/610] 	| 76.36 | 94.51 | 63.59 | 89.19 |
[203/610] 	| 76.50 | 94.71 | 64.68 | 89.29 |
[204/610] 	| 76.59 | 94.84 | 66.77 | 89.38 |
[205/610] 	| 76.10 | 94.53 | 67.96 | 89.38 |
[206/610] 	| 77.11 | 94.76 | 65.28 | 90.38 |
[207/610] 	| 76.95 | 94.65 | 67.16 | 90.08 |
[208/610] 	| 76.90 | 94.82 | 68.15 | 89.98 |
[209/610] 	| 77.11 | 94.66 | 65.87 | 89.98 |
[210/610] 	| 76.82 | 94.87 | 67.06 | 89.98 |
[211/610] 	| 77.91 | 94.85 | 65.18 | 88.79 |
[212/610] 	| 77.95 | 95.23 | 69.15 | 89.09 |
[213/610] 	| 77.52 | 95.55 | 65.38 | 89.38 |
[214/610] 	| 78.16 | 95.45 | 66.07 | 89.09 |
[215/610] 	| 78.99 | 95.47 | 64.09 | 88.59 |
[216/610] 	| 78.17 | 95.64 | 67.46 | 89.29 |
[217/610] 	| 78.02 | 95.66 | 67.66 | 88.29 |
[218/610] 	| 78.64 | 95.35 | 65.97 | 87.90 |
[219/610] 	| 78.73 | 95.62 | 65.97 | 89.29 |
[220/610] 	| 78.90 | 95.65 | 65.77 | 89.88 |
[221/610] 	| 78.38 | 95.91 | 66.37 | 89.68 |
[222/610] 	| 78.93 | 95.22 | 65.18 | 89.29 |
[223/610] 	| 79.03 | 95.45 | 67.26 | 88.49 |
[224/610] 	| 79.59 | 96.10 | 66.27 | 88.10 |
[225/610] 	| 78.97 | 95.72 | 65.77 | 88.89 |
[226/610] 	| 78.61 | 95.21 | 65.18 | 88.49 |
[227/610] 	| 79.56 | 96.12 | 65.58 | 89.58 |
[228/610] 	| 79.66 | 95.82 | 66.47 | 89.58 |
[229/610] 	| 80.04 | 96.12 | 65.18 | 89.78 |
[230/610] 	| 79.94 | 96.15 | 66.47 | 88.39 |
[231/610] 	| 80.54 | 96.03 | 65.87 | 89.98 |
[232/610] 	| 80.39 | 95.77 | 65.77 | 88.29 |
[233/610] 	| 80.49 | 96.17 | 65.67 | 88.10 |
[234/610] 	| 81.04 | 96.09 | 66.87 | 89.78 |
[235/610] 	| 79.96 | 96.11 | 66.07 | 89.48 |
[236/610] 	| 80.20 | 96.25 | 68.15 | 91.27 |
[237/610] 	| 80.49 | 96.12 | 64.78 | 88.79 |
[238/610] 	| 80.25 | 95.97 | 67.66 | 90.08 |
[239/610] 	| 81.24 | 96.35 | 66.87 | 88.10 |
[240/610] 	| 81.04 | 96.33 | 66.87 | 88.79 |
[241/610] 	| 81.97 | 96.79 | 63.99 | 88.99 |
[242/610] 	| 81.66 | 96.63 | 64.98 | 89.38 |
[243/610] 	| 80.49 | 96.16 | 64.98 | 88.99 |
[244/610] 	| 80.47 | 96.19 | 64.09 | 89.78 |
[245/610] 	| 82.14 | 96.66 | 67.46 | 89.88 |
[246/610] 	| 81.48 | 96.76 | 67.46 | 89.29 |
