Parameters: 13,384,746
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[106/610] 	| 56.13 | 84.99 | 55.36 | 82.64 |
[107/610] 	| 57.21 | 85.20 | 52.78 | 81.35 |
[108/610] 	| 55.08 | 83.85 | 51.09 | 80.46 |
[109/610] 	| 52.46 | 81.65 | 46.43 | 76.19 |
[110/610] 	| 50.41 | 80.89 | 52.28 | 81.65 |
[111/610] 	| 54.23 | 83.63 | 52.18 | 83.43 |
[112/610] 	| 56.24 | 84.41 | 56.15 | 82.94 |
[113/610] 	| 57.34 | 85.14 | 56.35 | 84.33 |
[114/610] 	| 57.38 | 85.56 | 54.66 | 85.32 |
[115/610] 	| 57.28 | 85.41 | 56.05 | 83.63 |
[116/610] 	| 58.41 | 86.00 | 57.94 | 82.64 |
[117/610] 	| 57.25 | 84.78 | 54.76 | 81.25 |
[118/610] 	| 58.59 | 85.93 | 56.55 | 81.45 |
[119/610] 	| 59.11 | 86.72 | 56.05 | 82.04 |
[120/610] 	| 58.73 | 86.25 | 55.16 | 84.82 |
[121/610] 	| 59.79 | 87.16 | 54.76 | 82.94 |
[122/610] 	| 58.67 | 86.21 | 56.05 | 84.23 |
[123/610] 	| 57.64 | 86.34 | 56.15 | 83.33 |
[124/610] 	| 60.04 | 87.14 | 54.76 | 83.73 |
[125/610] 	| 60.80 | 87.32 | 57.94 | 85.22 |
[126/610] 	| 60.90 | 87.60 | 57.64 | 84.62 |
[127/610] 	| 62.13 | 87.72 | 57.74 | 85.12 |
[128/610] 	| 61.11 | 87.54 | 56.35 | 84.23 |
[129/610] 	| 61.34 | 87.22 | 56.35 | 84.23 |
[130/610] 	| 61.78 | 87.83 | 57.54 | 84.92 |
[131/610] 	| 61.77 | 87.50 | 55.46 | 85.91 |
[132/610] 	| 61.49 | 87.17 | 56.75 | 84.42 |
[133/610] 	| 61.97 | 87.53 | 54.66 | 84.92 |
[134/610] 	| 62.12 | 87.78 | 56.55 | 85.42 |
[135/610] 	| 62.38 | 87.67 | 57.14 | 84.62 |
[136/610] 	| 62.57 | 88.45 | 58.53 | 84.52 |
[137/610] 	| 62.58 | 88.08 | 60.42 | 85.52 |
[138/610] 	| 62.40 | 88.28 | 54.86 | 82.24 |
[139/610] 	| 61.97 | 87.88 | 57.94 | 84.82 |
[140/610] 	| 62.92 | 88.43 | 59.03 | 86.51 |
[141/610] 	| 63.06 | 88.60 | 55.46 | 84.92 |
[142/610] 	| 63.93 | 88.85 | 59.62 | 85.81 |
[143/610] 	| 63.83 | 88.88 | 57.94 | 85.81 |
[144/610] 	| 62.12 | 88.55 | 54.76 | 83.93 |
[145/610] 	| 63.40 | 88.61 | 58.63 | 86.81 |
[146/610] 	| 64.70 | 89.64 | 55.85 | 84.52 |
[147/610] 	| 64.57 | 88.89 | 59.82 | 85.71 |
[148/610] 	| 64.72 | 89.21 | 56.15 | 85.22 |
[149/610] 	| 65.48 | 89.74 | 55.85 | 84.62 |
[150/610] 	| 65.54 | 89.99 | 59.23 | 86.71 |
[151/610] 	| 63.11 | 88.60 | 58.23 | 85.12 |
[152/610] 	| 65.29 | 89.78 | 58.93 | 85.71 |
[153/610] 	| 63.77 | 89.15 | 55.36 | 85.52 |
[154/610] 	| 61.23 | 86.62 | 56.25 | 84.82 |
[155/610] 	| 61.38 | 87.26 | 54.46 | 83.33 |
[156/610] 	| 59.14 | 85.63 | 57.04 | 84.72 |
[157/610] 	| 58.66 | 85.89 | 56.25 | 84.23 |
[158/610] 	| 60.18 | 86.29 | 57.04 | 83.33 |
[159/610] 	| 62.32 | 88.30 | 61.31 | 85.12 |
[160/610] 	| 63.01 | 88.09 | 58.23 | 86.41 |
[161/610] 	| 63.87 | 87.69 | 58.63 | 85.52 |
[162/610] 	| 64.23 | 89.12 | 59.13 | 85.22 |
[163/610] 	| 64.99 | 89.61 | 57.44 | 84.92 |
[164/610] 	| 65.12 | 89.72 | 60.52 | 84.82 |
[165/610] 	| 65.20 | 90.04 | 61.81 | 86.81 |
[166/610] 	| 65.87 | 90.10 | 61.31 | 87.20 |
[167/610] 	| 66.85 | 91.00 | 57.64 | 84.82 |
[168/610] 	| 65.99 | 90.38 | 58.63 | 85.62 |
[169/610] 	| 66.23 | 90.74 | 60.52 | 85.02 |
[170/610] 	| 66.03 | 89.60 | 60.12 | 85.42 |
[171/610] 	| 66.79 | 90.40 | 60.62 | 87.40 |
[172/610] 	| 67.53 | 91.15 | 61.21 | 86.21 |
[173/610] 	| 67.58 | 90.65 | 60.12 | 85.91 |
[174/610] 	| 68.24 | 90.96 | 61.81 | 86.11 |
[175/610] 	| 68.34 | 91.07 | 60.12 | 85.81 |
[176/610] 	| 67.83 | 90.58 | 60.12 | 86.61 |
[177/610] 	| 68.28 | 90.97 | 60.32 | 85.71 |
[178/610] 	| 68.61 | 91.47 | 59.33 | 87.50 |
[179/610] 	| 67.99 | 90.56 | 61.31 | 87.80 |
[180/610] 	| 67.78 | 91.16 | 59.13 | 86.90 |
[181/610] 	| 69.43 | 91.89 | 58.93 | 84.03 |
[182/610] 	| 70.26 | 92.07 | 60.81 | 86.90 |
[183/610] 	| 69.98 | 92.12 | 62.40 | 85.22 |
[184/610] 	| 68.51 | 91.90 | 60.22 | 87.20 |
[185/610] 	| 69.94 | 92.49 | 59.23 | 86.81 |
[186/610] 	| 70.81 | 92.80 | 61.90 | 87.60 |
[187/610] 	| 70.20 | 92.06 | 59.82 | 86.31 |
[188/610] 	| 70.65 | 92.29 | 60.12 | 85.91 |
[189/610] 	| 71.21 | 92.75 | 60.91 | 86.71 |
[190/610] 	| 71.15 | 92.63 | 62.10 | 86.81 |
[191/610] 	| 72.15 | 92.77 | 59.42 | 86.11 |
[192/610] 	| 72.05 | 93.12 | 61.51 | 87.30 |
[193/610] 	| 71.83 | 93.21 | 60.42 | 86.11 |
[194/610] 	| 72.36 | 93.18 | 60.81 | 87.60 |
[195/610] 	| 72.51 | 93.19 | 63.49 | 87.50 |
[196/610] 	| 71.75 | 93.07 | 63.00 | 86.90 |
[197/610] 	| 72.73 | 93.41 | 60.52 | 86.21 |
[198/610] 	| 72.76 | 93.57 | 60.02 | 85.42 |
[199/610] 	| 72.30 | 92.70 | 63.19 | 85.62 |
[200/610] 	| 72.62 | 93.19 | 62.50 | 87.50 |
[201/610] 	| 72.22 | 93.32 | 61.01 | 87.10 |
[202/610] 	| 73.02 | 93.82 | 60.12 | 87.30 |
[203/610] 	| 71.96 | 93.42 | 60.62 | 85.32 |
[204/610] 	| 72.83 | 93.26 | 63.29 | 86.11 |
[205/610] 	| 73.51 | 93.64 | 62.90 | 88.49 |
[206/610] 	| 75.83 | 94.60 | 62.60 | 87.40 |
[207/610] 	| 75.17 | 94.24 | 62.50 | 88.00 |
[208/610] 	| 74.90 | 94.40 | 62.60 | 87.40 |
[209/610] 	| 74.44 | 94.28 | 62.50 | 87.70 |
[210/610] 	| 74.37 | 94.08 | 62.90 | 86.81 |
[211/610] 	| 74.37 | 94.38 | 62.30 | 87.20 |
[212/610] 	| 75.54 | 94.70 | 63.99 | 86.90 |
[213/610] 	| 74.04 | 94.31 | 59.52 | 86.81 |
