Parameters: 2,566,666
         	|     Train     |      Test     |
         	| Top-1 | Top-3 | Top-1 | Top-3 |
[30/610] 	| 82.10 | 96.41 | 69.84 | 90.67 |
[31/610] 	| 82.07 | 96.76 | 71.03 | 90.38 |
[32/610] 	| 82.76 | 96.80 | 68.06 | 91.17 |
[33/610] 	| 83.37 | 96.95 | 69.84 | 90.48 |
[34/610] 	| 83.11 | 96.84 | 69.35 | 92.06 |
[35/610] 	| 84.04 | 97.19 | 68.35 | 92.16 |
[36/610] 	| 83.82 | 97.16 | 68.65 | 90.77 |
[37/610] 	| 84.53 | 97.65 | 71.23 | 91.27 |
[38/610] 	| 84.71 | 97.42 | 69.15 | 89.88 |
[39/610] 	| 85.29 | 97.54 | 70.83 | 90.67 |
[40/610] 	| 85.50 | 97.61 | 69.74 | 91.77 |
[41/610] 	| 85.58 | 97.69 | 70.24 | 90.77 |
[42/610] 	| 85.98 | 97.53 | 72.12 | 92.16 |
[43/610] 	| 85.84 | 97.76 | 72.22 | 92.06 |
[44/610] 	| 85.90 | 97.89 | 69.35 | 89.98 |
[45/610] 	| 86.37 | 98.09 | 69.74 | 91.07 |
[46/610] 	| 86.40 | 97.79 | 68.85 | 90.77 |
[47/610] 	| 87.53 | 98.15 | 70.73 | 90.87 |
[48/610] 	| 87.62 | 98.20 | 69.05 | 91.87 |
[49/610] 	| 87.59 | 98.04 | 70.93 | 91.57 |
[50/610] 	| 87.51 | 98.04 | 72.72 | 92.76 |
[51/610] 	| 87.93 | 98.38 | 70.44 | 92.06 |
[52/610] 	| 87.48 | 97.98 | 72.62 | 91.96 |
[53/610] 	| 88.21 | 98.30 | 71.63 | 91.27 |
[54/610] 	| 87.69 | 98.39 | 71.73 | 91.87 |
[55/610] 	| 88.55 | 98.27 | 71.43 | 91.77 |
[56/610] 	| 87.99 | 98.10 | 70.73 | 92.06 |
[57/610] 	| 88.53 | 98.23 | 70.04 | 91.87 |
[58/610] 	| 88.66 | 98.21 | 71.33 | 91.17 |
[59/610] 	| 88.83 | 98.43 | 69.84 | 88.89 |
[60/610] 	| 88.67 | 98.41 | 69.15 | 90.87 |
[61/610] 	| 88.23 | 98.48 | 71.43 | 91.07 |
[62/610] 	| 88.81 | 98.30 | 69.44 | 90.67 |
[63/610] 	| 89.20 | 98.45 | 70.73 | 90.58 |
[64/610] 	| 89.22 | 98.33 | 70.24 | 91.27 |
[65/610] 	| 89.47 | 98.49 | 69.94 | 90.97 |
[66/610] 	| 88.98 | 98.51 | 70.34 | 91.57 |
[67/610] 	| 89.92 | 98.83 | 70.73 | 92.36 |
[68/610] 	| 89.90 | 98.62 | 69.84 | 91.77 |
[69/610] 	| 89.38 | 98.63 | 71.63 | 92.36 |
[70/610] 	| 89.94 | 98.62 | 70.14 | 91.17 |
[71/610] 	| 89.48 | 98.48 | 71.83 | 92.36 |
[72/610] 	| 90.08 | 98.78 | 71.43 | 91.57 |
[73/610] 	| 89.69 | 98.61 | 70.93 | 91.96 |
[74/610] 	| 89.88 | 98.87 | 70.14 | 90.87 |
[75/610] 	| 90.10 | 98.69 | 70.04 | 91.57 |
[76/610] 	| 89.95 | 98.73 | 70.24 | 91.77 |
[77/610] 	| 89.77 | 98.77 | 69.54 | 91.67 |
[78/610] 	| 90.32 | 98.70 | 70.04 | 90.87 |
[79/610] 	| 89.64 | 98.68 | 71.83 | 90.28 |
[80/610] 	| 90.17 | 98.57 | 70.93 | 90.48 |
[81/610] 	| 90.04 | 98.69 | 69.84 | 91.27 |
[82/610] 	| 89.74 | 98.54 | 71.23 | 91.17 |
[83/610] 	| 90.28 | 98.57 | 73.61 | 92.46 |
[84/610] 	| 90.22 | 98.83 | 69.25 | 91.67 |
[85/610] 	| 90.90 | 98.83 | 69.54 | 91.57 |
[86/610] 	| 90.35 | 98.71 | 71.73 | 91.47 |
[87/610] 	| 91.23 | 98.87 | 71.53 | 90.58 |
[88/610] 	| 90.69 | 98.73 | 72.32 | 93.45 |
[89/610] 	| 90.17 | 98.68 | 70.54 | 91.67 |
[90/610] 	| 90.76 | 98.97 | 70.44 | 91.27 |
[91/610] 	| 91.14 | 98.83 | 67.66 | 89.88 |
